,^N225,^GSPC/JPY,BTC/JPY
2020-08-06,22418.150390625,353513.8809044603,1243390.4421849847
2020-08-07,22329.939453125,353831.50106865726,1224895.0993895829
2020-08-11,22750.240234375,353344.45348550007,1209424.3702916354
2020-08-12,22843.9609375,360078.2853379734,1234038.8584966436
2020-08-13,23249.609375,360356.5274220649,1258805.140345998
2020-08-14,23289.359375,360847.740753714,1259104.4435542524
2020-08-17,23096.75,360364.5643093176,1305755.5978072286
2020-08-18,23051.080078125,359299.7435156312,1271010.817002289
2020-08-19,23110.609375,355115.2233800292,1237253.5802829266
2020-08-20,22880.619140625,359131.5243846979,1260045.8591216132
2020-08-21,22920.30078125,358960.9052232299,1224920.3880399987
2020-08-24,22985.509765625,363293.6318921484,1246658.8563238084
2020-08-25,23296.76953125,364999.6140497774,1204730.6792013943
2020-08-26,23290.859375,370154.2593252808,1222419.2809175253
2020-08-27,23208.859375,368860.5397520326,1198649.5934167653
2020-08-28,22882.650390625,374083.6670512799,1230857.584476471
2020-08-31,23139.759765625,369405.2348522097,1232735.414456129
2020-09-01,23138.0703125,373838.9884990603,1268918.5782679915
2020-09-02,23247.150390625,379196.6552792508,1208700.6059882864
2020-09-03,23465.529296875,366955.0193357654,1088132.49237597
2020-09-04,23205.4296875,363552.46939605474,1115156.229076445
2020-09-07,23089.94921875,364323.53015813977,1102398.6317443475
2020-09-08,23274.130859375,354191.2615600098,1077030.875420995
2020-09-09,23032.5390625,360180.997023955,1085361.120192945
2020-09-10,23235.470703125,354725.4960406944,1100886.6133476794
2020-09-11,23406.490234375,354620.5680554267,1103984.3015028164
2020-09-14,23559.30078125,359145.84608796984,1133717.502045527
2020-09-15,23454.890625,359557.84038256854,1141399.6535951495
2020-09-16,23475.529296875,356766.3095026575,1156546.456447944
2020-09-17,23319.369140625,352694.1737620495,1150322.7732440531
2020-09-18,23360.30078125,347541.860509336,1145876.2371082306
2020-09-23,23346.490234375,339986.6360105276,1076197.920281589
2020-09-24,23087.8203125,341878.92538942024,1133078.0420381427
2020-09-25,23204.619140625,347773.11792856455,1127386.56937325
2020-09-28,23511.619140625,353841.8203227781,1130660.809738785
2020-09-29,23539.099609375,351668.6009423621,1143382.9804537296
2020-09-30,23185.119140625,355348.03692626953,1139532.4951100945
2020-10-02,23029.900390625,353402.2813619971,1116220.0804511905
2020-10-05,23312.140625,359641.4035852663,1138805.309971124
2020-10-06,23433.73046875,355278.05515476316,1120959.979235649
2020-10-07,23422.8203125,361229.63332309574,1127069.8522381783
2020-10-08,23647.0703125,365243.3366058469,1156680.579000175
2020-10-09,23619.689453125,368639.4092789199,1173031.6840853915
2020-10-12,23558.689453125,373326.7373194359,1220616.177852571
2020-10-13,23601.779296875,369943.176137181,1203592.7828114703
2020-10-14,23626.73046875,367950.0209187865,1205470.0999383628
2020-10-15,23507.23046875,366234.8932881262,1208609.5618784577
2020-10-16,23410.630859375,367054.2298997864,1192898.8911292255
2020-10-19,23671.130859375,361289.8932967186,1237927.7692637444
2020-10-20,23567.0390625,363145.8829627931,1256815.8628763855
2020-10-21,23639.4609375,362372.55928362533,1352604.2587913424
2020-10-22,23474.26953125,361497.5268599298,1357217.7017315403
2020-10-23,23516.58984375,363592.1646702755,1356789.9791947007
2020-10-26,23494.33984375,356023.7348763831,1368756.1737339199
2020-10-27,23485.80078125,355451.76107715815,1431399.0700006485
2020-10-28,23418.509765625,341969.8284234069,1387446.4823597074
2020-10-29,23331.939453125,345294.1439370364,1401772.7783932686
2020-10-30,22977.130859375,341887.3965500146,1416343.120956257
2020-11-02,23295.48046875,346184.9042399414,1417110.1913937181
2020-11-04,23695.23046875,359997.8639175929,1477622.5016455948
2020-11-05,24105.279296875,366624.38442761824,1627128.2866669446
2020-11-06,24325.23046875,363588.49511115253,1612671.9052703977
2020-11-09,24839.83984375,366599.7706489563,1583107.5397946462
2020-11-10,24905.58984375,372766.3943690192,1607639.6155806482
2020-11-11,25349.599609375,376058.1899806578,1652723.0654948056
2020-11-12,25520.880859375,372853.91341767274,1715770.7913076878
2020-11-13,25385.869140625,376763.3901080936,1714838.4453595877
2020-11-16,25906.9296875,379650.4310360905,1749775.7112139016
2020-11-17,26014.619140625,377343.880114574,1844668.4212431908
2020-11-18,25728.140625,371695.9331885278,1854839.1300888658
2020-11-19,25634.33984375,372134.803898558,1851088.6822029948
2020-11-20,25527.369140625,369361.58369891346,1933357.9162679613
2020-11-24,26165.58984375,379991.2266104277,1997207.7919486463
2020-11-25,26296.859375,379345.60201594234,1957750.1810176373
2020-11-26,26537.310546875,378935.4553430937,1790525.072263524
2020-11-27,26644.7109375,379268.8791103177,1783414.021773845
2020-11-30,26433.619140625,376946.4841154516,2042696.2704212666
