timestamp,BTC/USDT,ETH/USDT,XRP/USDT,SOL/USDT,MATIC/USDT
2023-09-22,4095919.8368246458,245488.84895446777,78.92848346252441,2994.1047123718263,80.29994676361085
2023-09-23,4095275.7113641356,245609.04461456297,78.2196372619629,3003.35053237915,80.23830796356202
2023-09-24,4044796.616064148,243582.66906295778,77.3721037612915,2983.317922363281,79.1442192626953
2023-09-25,4053492.309781037,244756.88820388794,77.91144326171876,2987.9408323669436,80.06880126342773
2023-09-26,4040680.685190887,245632.1591645813,77.34128436126709,2932.465912322998,78.57406036224366
2023-09-27,4063998.6432493594,246345.6282751465,76.9406321609497,2949.416582336426,77.61865896148682
2023-09-28,4163915.1381285093,254720.800231781,78.55865066223144,3075.7761224365236,80.08421096343994
2023-09-29,4146281.818404541,256949.04285354615,80.36158556365966,3125.087162475586,81.02420266418457
2023-09-30,4154849.6116113286,257479.13653396608,79.344545362854,3293.0528926086427,82.08747196502685
2023-10-01,4313571.062707062,267171.8378416443,80.76223776397705,3678.2953929138184,87.69660276947022
2023-10-02,4236821.510826264,256170.8530029297,78.94389316253661,3601.2468928527833,84.32187846679687
2023-10-03,4226335.209967956,255320.23756225588,83.0582830657959,3636.6892028808597,87.31136026916504
2023-10-04,4280594.304680939,253733.03846099853,82.07206226501464,3564.2636128234863,86.63333346862794
2023-10-05,4223858.871175995,248372.0038267517,80.54650196380616,3498.001902770996,83.96745536651612
2023-10-06,4304097.179139557,253494.1881108093,80.97797356414794,3607.410772857666,86.84906926879883
2023-10-07,4308038.980402679,251728.2364894104,80.37699526367187,3590.4601028442385,86.87988866882324
2023-10-08,4301933.657257843,251615.74567932126,79.72978786315917,3578.1323428344726,86.40218796844482
2023-10-09,4251554.7250079345,243493.29280288698,77.46456196136475,3405.5437026977543,81.56354216461182
2023-10-10,4220735.32498352,241567.0803013611,76.50916056060791,3407.0846726989744,79.76060726318359
2023-10-11,4141437.0087207034,241449.9665812683,75.32261365966797,3391.674972686768,79.28290656280517
2023-10-12,4123578.7073765565,237249.28235794065,74.42885105895996,3279.1841625976563,78.25045666198731
2023-10-13,4139353.6172790527,239183.19970947268,74.7524547592163,3365.4784826660157,79.32913566284181
2023-10-14,4137886.6138378903,239611.58936981202,74.96819055938721,3390.134002685547,79.72978786315917
2023-10-15,4184373.055864716,240047.68388015748,75.10687785949708,3379.347212677002,79.40618416290283
2023-10-16,4391884.699139099,246465.8239352417,76.7094866607666,3690.623152923584,82.2107495651245
2023-10-17,4375724.546736297,241163.34616104126,75.69244645996095,3687.5412129211427,80.02257216339112
2023-10-18,4364027.043457031,240921.41387084962,75.1685166595459,3608.951742858887,78.68192826232911
2023-10-19,4424696.573375091,241403.73748123168,80.08421096343994,3841.638213043213,79.69896846313476
2023-10-20,4571910.06050171,247154.63752578737,79.344545362854,4165.241913299561,82.53435326538086
2023-10-21,4609010.454251098,251014.76737884522,80.25371766357422,4518.124043579101,88.23594226989746
2023-10-22,4621748.112281188,256371.1791030884,80.53109226379394,4476.517853546143,93.89130217437743
2023-10-23,5095986.253066864,272052.08983551024,84.36810756683349,4912.6123638916015,98.14437937774659
2023-10-24,5227390.928950959,275060.06327789306,86.10940366821289,4649.106493682862,96.23357657623292
2023-10-25,5315737.821060944,275394.453768158,85.55465446777345,4998.906683959961,97.15815857696532
2023-10-26,5262668.355188904,277895.4480801392,85.2618701675415,5049.758694000245,97.40471377716064
2023-10-27,5222658.610077209,274200.20201721194,83.67467106628419,4889.497813873291,93.78343427429199
2023-10-28,5251779.861160278,273707.0916168213,83.9212262664795,4874.088113861084,95.5555497756958
2023-10-29,5320336.075544586,276625.6887991333,85.69334176788331,5059.004514007568,98.42175397796632
2023-10-30,5312452.473018342,278767.6371008301,89.06806607055664,5384.149184265137,100.1168209793091
2023-10-31,5337884.641918487,279635.20321151736,92.39656127319336,5917.3248046875,98.03651147766114
2023-11-01,5458336.103033905,284615.6182554627,93.76802457427979,6341.091555023193,103.19876098175048
2023-11-02,5384394.19849533,277497.8778198242,93.29032387390137,6199.322314910888,101.71942978057862
2023-11-03,5349751.651897888,282415.11309371947,94.32277377471924,6079.126654815675,103.52236468200682
2023-11-04,5402959.805070038,285933.14760650636,94.75424537506103,6535.253775177001,104.32366908264162
2023-11-05,5395225.67663391,291506.8361009216,101.81188798065185,6341.091555023193,106.60430468444824
2023-11-06,5400497.335008087,292930.6923820496,110.14853568725586,6496.729525146484,113.44621148986816
2023-11-07,5454898.1989611825,290514.4514201355,105.55644508361817,6615.384215240479,114.07800919036865
2023-11-08,5489662.482188721,290953.6278704834,105.84922938385009,6646.203615264893,121.33597789611817
2023-11-09,5655527.870210113,326889.04829895025,102.70565058135986,6979.053135528564,131.6912963043213
2023-11-10,5748069.282663421,320170.4190936279,101.62697158050537,8732.676996917726,129.85754200286866
2023-11-11,5721621.614532471,316387.33774063113,102.10467228088379,8681.824986877442,123.78612019805908
2023-11-12,5711471.245134429,315079.05420959473,101.9043461807251,8672.579166870117,138.24041880950926
2023-11-13,5618828.128661041,316461.3043006897,103.27580948181152,7951.4052062988285,135.92896380767823
2023-11-14,5478331.729769745,305018.06107162475,97.01947127685547,8754.250576934815,141.3994073120117
2023-11-15,5833835.050021362,317205.5928112793,99.87026577911377,10082.566717987062,141.63055281219482
2023-11-16,5572688.404884491,302302.8719294739,94.29195437469482,8906.806607055663,130.2119651031494
2023-11-17,5642095.234709472,302156.4797793579,94.50769017486571,9016.215477142334,127.9775586013794
2023-11-18,5635034.510163879,302430.7724395752,94.09162827453613,9023.920327148438,128.19329440155028
2023-11-19,5757042.35098053,309961.4928355408,96.43390267639161,9415.326707458496,131.32146350402832
2023-11-20,5770744.656231384,311491.67604675295,94.33818347473144,8717.267296905518,124.86479919891357
2023-11-21,5507681.044412995,297871.0422059631,89.19134367065429,7959.110056304931,112.18261608886718
2023-11-22,5764512.973546447,317934.4716218567,94.13785737457276,8869.823327026368,119.05534229431152
2023-11-23,5746936.669712524,317778.83365173335,95.67882737579346,8708.021476898193,118.97829379425049
2023-11-24,5811548.000893707,320651.2017340088,95.72505647583007,8761.955426940918,117.0366715927124
2023-11-25,5821887.909601898,320997.91998428345,95.97161167602539,9063.985547180177,120.0877921951294
2023-11-26,5770536.625281219,317798.86626174924,94.8775229751587,8871.364297027589,117.45273349304199
2023-11-27,5738988.346446227,312431.66774749756,93.05917837371825,8484.580826721192,114.43243229064942
2023-11-28,5827774.415006562,315612.2298300171,94.10703797454835,8965.36346710205,115.35701429138184
2023-11-29,5833286.464700928,312633.53481765743,93.86048277435302,9139.493077239991,116.72847759246825
2023-11-30,5813149.068724975,316200.8803704834,93.42901117401122,9137.952107238769,117.52978199310303
2023-12-01,5960860.289161987,321637.42253479,94.38441257476808,9207.295757293701,123.18514189758301
2023-12-02,6079180.588765716,333579.94004425046,95.66341767578125,9809.815027770996,125.61987449951172
2023-12-03,6159605.354099426,337927.01641769405,95.9870213760376,9705.029067687989,125.40413869934082
2023-12-04,6470702.541825866,345696.58716384886,96.23357657623292,9498.539087524414,124.89561859893799
2023-12-05,6791566.397420044,353395.2732899475,95.69423707580566,9404.53991744995,125.3887289993286
2023-12-06,6743699.246272125,344052.37217254634,98.62208007812501,9530.89945755005,126.31331100006103
2023-12-07,6668261.059862366,363010.9260975647,99.11519047851563,10438.530788269041,129.81131290283204
2023-12-08,6806617.051421966,363471.67612792965,103.56859378204346,11548.029189147948,139.5810627105713
2023-12-09,6736134.624536132,360662.4878157043,101.45746488037109,11141.213108825683,136.16010930786135
2023-12-10,6747832.127815399,362496.242117157,101.96598498077392,11537.242399139404,142.26235051269532
2023-12-11,6357025.184835816,342884.3169116211,95.3398139755249,10825.31425857544,129.7650838027954
2023-12-12,6393852.826894989,339546.57588897704,95.41686247558593,10571.054208374022,136.54535180816652
2023-12-13,6605988.921143035,348283.87579589844,96.69586757659911,10882.330148620606,136.7764973083496
2023-12-14,6629601.204471741,356783.8663226319,97.32766527709961,11662.060969238282,136.25256750793457
2023-12-15,6462874.414219666,342172.3887710571,94.86211327514648,11173.57347885132,129.11787640228272
